несусветица+ставленница=нацеливание 12090324576+4638211576=16728536152
икрометание+сонористика=термокамера 12374085910+67973168125=80347254035
авиаконверт+квантование=староверство 73278463905+83765437629=157043901534
неустроение+простирание=посессионер 2863472012+94763145012=97626617024
неспортсмен+антисионист=арсенопирит 1367293810+50943470439=52310764249
автоколонна+антиквариат=калоризатор 41278757334+43298146942=84576904276
несносность+распутность=остропестро 49246246258+13270546258=62516792516
несносность+сокомнатник=теннисистка 6709709781+79295038042=86004747823
несносность+степенность=ословодство 12718718754+75262118754=87980837508
авторессора+термограмма=стелларатор 75184699847+16438047337=91622747184
светосостав+своевластие=акселератка 14803131024+14384721068=29187852092
светосостав+секстиллион=стаскивание 6392020956+3109844827=9501865783
светосостав+секстиллион=стискивание 6395050926+3409811857=9804862783
светосостав+сенокосилка=телеантенна 40183434850+41732346925=81915781775
автослесарь+автослесарь=словесность 39247857360+39247857360=78495714720
автостоянка+контрактант=окатанность 63497495126+29148624614=92646119740
несмотрение+несмотрение=транспортер 45321905475+45321905475=90643810950
сарсапарель+сарсапарель=фосфороскоп 20620806359+20620806359=41241612718
никтинастия+никтинастия=коллоксилин 9169074695+9169074695=18338149390
никтинастия+коллоксилин=ложнослоник 10370195702+36446350401=46816546103
свинооткорм+сенсимонист=контокоррент 84576631690+82785067583=167361699273
свиристение+средостение=держидерево 43616425765+41580425765=85196851530
нитроманнит+феррогранат=магнитограф 69534716695+2334831615=71869548310
нитронатрит+остеосинтез=сонористика 8526095285+67536780534=76062875819
нитронатрит+патинировка=киноаппарат 23148201431+50132348970=73280550401
адвокатство+садоводство=конденсатор 25378206037+62573756037=87951962074
адвокатство+сесквиоксид=светоотдача 1693027269+74736893781=76429921050
индепендент+стереотипер=перекресток 32087820826+46898163789=78985984615
новаторство+новаторство=саутрантика 36425617546+36425617546=72851235092
неравенство+посторонняя=патерностер 3791306415+85645750022=89437056437
санирование+доваривание=единоверная 12965072964+30725672964=43690745928
изнеможение+евровидение=невозможное 87904610980+2362850980=90267461960
аксиоматика+маринистика=стрекотание 18964710681+71563690681=90528401362
североморец+сероводород=недонесение 9695484597+9546424542=19241909139
нумерование+наваривание=микромикрон 47928615432+45158315432=93086930864
неостановка+насилование=светосостав 25041320873+23469083265=48510404138
неоромантик+трикотажник=кинокартина 34717803265+21657209365=56375012630
самоочистка+сирконстант=комиссариат 40377164580+46987245025=87364409605
секретариат+канареечник=террористка 41381708207+30508116523=71889824730
секретариат+страстность=кокаинистка 38798519215+35913504356=74712023571
секстиллион+нелитератор=католикосат 9207355341+19537968746=28745324087
селагинелла+ненанесение=ложнослоник 28930468993+68636828648=97567297641
амортизатор+макроклимат=миллимикрон 7314860431+70913928704=78228789135
ненанесение+чаевничание=трансверсия 65616535695+21546921695=87163457390
ненанесение+девственник=антисептика 21292151241+71053012248=92345163489
интернатура+наращивание=акванавтика 17305793459+79592189710=96897983169
аноксибионт+сирконстант=тарабарщина 69031727098+17430918698=86462645796
сенаторство+астеносфера=автоагрегат 7934150481+30479106753=38413257234
антивитамин+сенсимонизм=метасоматоз 19450541859+62965839578=82416381437
антигриппин+парапроктит=гидропоника 28409306608+62326351404=90735658012
антиквариат+антисионист=нитронатрит 12045718410+12043492430=24089210840
антиквариат+наваривание=телереклама 52730456357+25456345238=78186801595
антиквариат+трассировка=короставник 82179480781+10855703498=93035184279
сенокосилка+ремесленное=микрокосмос 28519126794+8382785518=36901912312
антикритика+кинокартина=проплетание 56281482815+18691542865=74973025680
антикритика+тринитаризм=партминимум 3521725210+57232507284=60754232494
интеллигент+легионеллез=гипертензин 9314405193+41502914416=50817319609
антинакипин+колоколенка=квинтиллион 2162096362+95459548290=97621644652
антинакипин+контроктава=фотовитрина 80230813430+15026512878=95257326308
антиозонант+орнитофауна=канонизатор 70951410709+16059137207=87010547916
антипиретик+набедренник=прапрабабка 43567681562+34910813362=78478494924
сенсимонизм+космоснимок=многоголосие 40342153261+95415432159=135757585420
сенситометр+треволнение=толстовство 2106378235+35297412162=37403790397
интригантка+интригантка=закраивание 27302147364+27302147364=54604294728
обособление+толстовство=остеосинтез 14161482952+1860176071=16021659023
антисемитка+контрактант=термотаксис 23789468752+50371257237=74160725989
антисептика+перетекание=индикатриса 19283072851+70402051980=89685124831
антисионист+остеосинтез=стереовизор 38264608642+4250468259=42515076901
антисионист+бонапартист=оборотность 63587893875+29361645875=92949539750
зонирование+доваривание=единоверная 30965072964+10725672964=41690745928
античастица+ставленница=начинивание 68793617946+17605288946=86398906892
антрепренер+перевевание=авиатехника 34621021412+1215153481=35836174893
ионосферист+притворство=свиристение 73038456782+16729368293=89767825075
неизвестное+советование=автостартер 72906215732+13625368792=86531584524
неизвестное+ветвистость=резонерство 69521907639+19715073074=89236980713
незабвенное+паринирвана=ревизование 15604951175+20381839010=35986790185
сердцеведец+рододендрон=мироведение 19602939092+65050970657=84653909749
искоренение+втискивание=оркестровка 3152878708+49031046708=52183925416
испепеление+перетирание=телесистема 50292969459+29397538459=79690507918
аранжировка+кинохроника=контроктава 1023516470+75268162570=76291679040
арккосеканс+окатанность=трамтарарам 17992509165+29141662548=47134171713
